Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,O2-AV,F4-AV,C4-AV,P4-AV,O2-AV.1,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
-16.03,-45.78,36.96,9.32,24.2,20.22,5.43,-11.38,56.1,79.75,1.3,-288.71,-4.67,49.81,7.18,18.32,-4.67,-9.86,11.93,24.52,12.24,19.36
-20.81,-49.5,34.85,-2.1,14.47,12.17,1.27,-14.71,49.05,71.75,-2.2,-161.59,-6.98,43.94,0.66,9.72,-6.98,-20.5,3.6,13.9,9.22,14.01
-27.6,-53.63,27.2,-5.3,1.99,4.28,-2.97,-17.35,41.71,62.29,-10.39,-4.79,-9.23,25.17,-9.26,-3.05,-9.23,-25.54,-7.9,1.97,5.09,7.52
-32.34,-55.81,18.34,-0.42,-7.13,0.2,-5.79,-21.14,35.9,55.82,-19.87,119.21,-12.36,1.94,-18.66,-14.65,-12.36,-22.87,-17.73,-7.64,1.51,3.73
-32.15,-57.12,11.13,7.97,-9.15,1.7,-6.07,-24.45,34.18,54.27,-24.71,165.83,-15.35,-16.4,-23.67,-20.68,-15.35,-14.06,-22.15,-12.0,-0.91,4.02
-27.03,-54.48,8.09,16.37,-3.22,8.51,-2.69,-23.34,38.37,57.96,-22.67,115.34,-16.29,-25.21,-23.02,-21.42,-16.29,-2.95,-20.17,-10.68,1.41,7.27
-18.77,-48.92,10.7,20.36,8.07,18.14,3.42,-17.18,46.94,66.05,-16.07,-10.88,-14.45,-21.64,-17.26,-17.85,-14.45,5.96,-12.83,-4.8,8.29,12.86
-10.47,-43.8,18.4,17.35,21.47,26.87,9.68,-7.95,57.12,75.01,-8.97,-166.29,-10.09,-5.18,-8.05,-9.71,-10.09,9.12,-2.71,3.45,15.94,19.06
-5.09,-38.41,28.33,8.51,31.19,31.5,14.1,-0.25,65.31,81.61,-5.09,-287.8,-5.82,16.83,0.58,-2.6,-5.82,4.92,5.72,9.95,23.28,23.67
-6.02,-34.14,35.89,-2.22,33.36,30.29,15.12,3.01,68.98,83.37,-5.43,-329.52,-4.21,35.53,5.05,0.05,-4.21,-5.01,8.86,11.95,29.95,25.45
-12.24,-34.66,37.89,-10.51,27.24,22.86,11.88,2.08,67.02,79.91,-9.11,-275.35,-6.2,45.02,3.66,-1.75,-6.2,-17.34,5.2,8.82,32.45,23.4
-19.2,-40.99,33.68,-12.44,14.94,11.43,5.18,-3.09,60.01,72.93,-13.06,-146.56,-10.76,41.73,-2.93,-6.96,-10.76,-27.77,-4.39,0.62,29.82,18.05
-23.04,-50.4,25.23,-6.58,-0.19,0.02,-2.5,-9.82,50.21,65.12,-14.93,11.09,-16.1,24.83,-12.83,-16.24,-16.1,-32.45,-16.74,-11.19,24.94,11.74
-23.57,-57.44,16.67,4.66,-12.13,-7.27,-8.76,-14.27,41.01,59.67,-13.71,134.52,-20.07,0.86,-22.31,-25.25,-20.07,-30.36,-26.93,-22.76,21.39,6.1
-22.34,-58.53,12.46,17.94,-16.72,-8.16,-11.53,-14.42,34.66,58.32,-10.28,179.25,-20.84,-20.7,-27.56,-29.77,-20.84,-22.96,-31.16,-30.0,20.35,1.95
-18.01,-52.83,15.03,29.84,-12.55,-2.16,-9.5,-9.85,32.68,61.75,-5.13,127.05,-17.98,-33.61,-26.69,-29.29,-17.98,-13.26,-27.8,-30.88,22.48,0.72
-11.41,-43.91,22.77,36.69,-1.79,7.99,-3.75,-1.59,35.54,67.6,2.43,-0.64,-12.13,-34.08,-20.64,-24.82,-12.13,-5.2,-18.44,-25.79,28.29,2.94
-5.52,-35.64,32.74,36.41,11.95,17.68,2.73,7.16,43.64,72.68,11.82,-157.46,-5.06,-21.5,-11.69,-16.76,-5.06,-2.44,-6.32,-16.75,35.15,7.36
-1.84,-29.26,42.9,30.12,22.29,23.19,7.5,13.85,53.32,74.97,19.57,-280.26,1.05,-3.75,-3.91,-10.85,1.05,-6.61,3.55,-8.09,41.25,11.25
-0.07,-25.84,49.92,20.81,25.59,22.66,9.28,15.22,59.38,74.63,22.66,-324.09,2.83,10.99,-0.6,-9.55,2.83,-16.2,7.71,-3.11,45.36,12.55
-0.32,-27.73,52.05,11.41,21.04,16.46,7.26,9.74,58.72,70.65,21.38,-272.81,-0.86,17.35,-2.81,-12.3,-0.86,-27.75,4.92,-3.21,46.38,10.6
-1.58,-32.78,48.99,5.5,10.5,6.86,2.42,0.86,52.47,62.11,16.14,-146.45,-7.6,11.59,-9.5,-18.63,-7.6,-37.35,-3.48,-8.96,43.93,5.15
-2.14,-37.86,42.58,5.01,-2.65,-2.68,-2.91,-8.9,44.54,53.75,7.07,9.71,-15.0,-6.35,-19.03,-28.62,-15.0,-41.38,-14.58,-18.75,39.53,-1.01
-0.96,-41.97,36.23,9.48,-12.31,-8.74,-6.64,-16.47,37.91,49.97,-4.17,132.98,-20.22,-29.3,-27.62,-37.11,-20.22,-38.31,-23.88,-28.34,35.54,-5.55
1.83,-40.32,32.48,15.98,-14.72,-9.33,-7.41,-18.79,34.37,51.26,-17.43,178.59,-21.36,-48.06,-31.86,-39.98,-21.36,-29.65,-27.76,-33.66,33.81,-7.34
6.98,-31.79,34.01,20.85,-9.0,-4.06,-4.41,-14.41,34.96,56.48,-29.02,127.93,-18.03,-57.42,-30.0,-36.78,-18.03,-18.43,-24.84,-32.8,36.33,-6.08
13.9,-22.43,40.18,20.88,2.55,4.77,1.92,-4.27,39.56,63.88,-36.55,2.28,-11.71,-53.92,-22.6,-28.91,-11.71,-8.84,-16.09,-26.09,43.59,-1.76
19.45,-15.45,47.96,15.11,16.28,13.28,8.98,8.48,46.18,71.7,-38.14,-152.51,-4.33,-38.0,-11.54,-17.17,-4.33,-4.69,-4.43,-15.35,51.28,3.05
20.98,-10.81,54.57,6.04,25.97,18.06,14.64,19.55,51.2,76.49,-35.33,-273.61,1.94,-17.69,-1.06,-7.66,1.94,-7.61,5.28,-4.54,57.63,5.9
17.15,-9.6,58.26,-2.09,28.35,17.37,17.08,25.87,52.5,74.98,-32.94,-315.53,5.85,-1.37,5.05,-3.53,5.85,-16.27,9.44,2.72,60.73,5.78
8.77,-11.63,57.44,-6.42,22.69,11.37,15.17,26.95,48.7,66.63,-33.75,-262.23,5.85,6.18,5.21,-4.4,5.85,-27.44,6.62,4.58,57.91,1.54
-1.22,-17.32,49.39,-5.33,10.87,2.39,9.73,23.76,39.55,55.11,-35.48,-134.32,2.93,2.02,0.14,-9.57,2.93,-37.3,-2.1,1.35,50.62,-5.62
-8.99,-26.4,34.84,1.63,-3.34,-5.81,3.39,17.15,26.7,44.98,-35.16,23.09,-1.33,-13.46,-8.23,-18.5,-1.33,-41.75,-13.5,-5.02,41.76,-12.35
-12.74,-34.67,19.13,12.69,-13.96,-10.05,-1.44,10.28,14.41,37.92,-31.37,146.73,-4.85,-33.24,-16.03,-26.08,-4.85,-38.96,-22.92,-11.16,33.43,-17.14
-12.39,-37.93,8.09,23.46,-17.35,-8.89,-3.32,7.0,6.71,34.27,-23.44,191.26,-5.57,-49.21,-20.17,-28.72,-5.57,-30.76,-27.21,-13.9,27.52,-19.3
-9.15,-34.25,5.37,30.84,-12.46,-2.08,-1.24,8.62,5.2,35.35,-11.96,138.71,-2.63,-56.09,-18.98,-26.34,-2.63,-20.13,-24.82,-11.73,26.13,-18.03
-5.62,-26.02,9.18,31.78,-1.19,8.12,4.22,14.6,8.58,40.62,0.29,11.63,4.27,-50.3,-12.43,-19.93,4.27,-10.85,-16.56,-4.72,28.11,-13.43
-3.33,-17.26,14.19,25.49,13.4,18.02,10.65,22.49,15.12,47.25,9.87,-143.31,13.31,-32.08,-1.97,-9.39,13.31,-6.25,-4.99,5.33,31.14,-7.39
-2.62,-10.48,18.09,13.21,25.38,23.86,15.77,28.37,21.99,52.41,15.4,-263.78,21.69,-9.62,7.95,-0.82,21.69,-8.13,5.14,14.32,33.48,-1.43
-4.15,-9.22,18.91,-1.3,31.06,23.77,17.52,28.99,26.15,53.65,17.89,-305.08,27.13,8.89,13.22,2.68,27.13,-15.45,10.08,18.86,34.03,2.63
-8.27,-15.31,15.28,-13.77,28.85,17.87,14.94,23.75,26.13,49.09,16.46,-250.65,29.07,18.5,12.45,1.7,29.07,-25.12,8.15,17.49,30.7,3.09
-14.64,-25.68,8.49,-19.89,20.08,8.31,9.01,15.0,22.78,40.59,10.43,-121.18,28.17,15.57,6.13,-3.47,28.17,-33.5,0.18,10.45,24.08,-0.55
-21.51,-33.59,2.47,-17.29,7.58,-1.3,2.15,4.53,16.99,31.99,2.12,36.84,24.69,-0.06,-4.22,-12.78,24.69,-37.23,-11.41,-0.8,16.73,-5.72
-28.93,-36.21,1.11,-7.51,-2.59,-7.04,-3.11,-4.07,10.79,25.57,-5.01,160.09,20.89,-21.07,-14.27,-20.54,20.89,-34.52,-21.93,-11.85,10.38,-10.22
-34.98,-33.24,6.34,4.5,-6.09,-7.06,-5.49,-8.24,8.41,22.91,-8.92,204.17,18.49,-38.53,-20.47,-23.17,18.49,-26.89,-27.84,-19.21,8.29,-13.14
-35.09,-26.44,16.83,14.82,-1.83,-1.33,-3.63,-5.61,12.82,25.43,-8.46,151.06,18.89,-47.13,-21.07,-21.04,18.89,-17.14,-27.42,-21.35,10.85,-13.39
-29.74,-17.27,30.1,20.43,8.06,7.8,1.41,1.02,22.15,32.21,-3.83,23.32,22.26,-43.36,-16.28,-15.4,22.26,-9.32,-21.43,-18.73,16.89,-10.6
-23.03,-8.1,42.98,19.75,20.51,16.49,7.01,7.95,32.74,40.97,2.42,-132.19,27.13,-27.07,-7.89,-6.37,27.13,-6.94,-12.51,-12.64,23.91,-5.36
-16.83,-1.0,52.83,14.22,29.65,21.64,11.31,12.89,40.14,48.44,6.05,-253.36,30.53,-5.93,0.03,0.54,30.53,-10.99,-5.14,-6.42,31.16,0.09
-12.75,2.46,57.87,7.06,31.91,21.24,12.53,13.96,42.22,51.17,5.63,-295.89,30.06,11.8,3.91,2.61,30.06,-19.96,-2.64,-3.3,36.45,3.6
-11.99,1.89,55.37,1.35,26.09,15.02,9.65,10.34,39.64,48.4,0.97,-243.27,25.86,20.9,2.07,0.21,25.86,-30.76,-6.77,-5.11,37.09,3.2
-13.92,-1.05,45.85,0.04,14.26,5.29,3.53,2.87,34.68,40.65,-6.71,-116.1,19.05,18.18,-4.86,-5.56,19.05,-39.39,-16.38,-11.67,32.58,-1.13
-16.04,-6.77,32.34,4.9,0.17,-4.32,-3.18,-4.99,28.73,31.94,-15.47,40.28,11.96,3.29,-14.89,-14.81,11.96,-42.11,-28.16,-21.38,25.55,-6.68
-15.42,-15.74,19.01,14.47,-10.41,-10.48,-8.52,-10.56,23.38,27.64,-22.47,162.98,7.19,-16.66,-24.09,-22.69,7.19,-37.62,-37.75,-30.46,18.83,-10.37
-12.04,-21.1,11.65,25.7,-13.98,-11.27,-11.03,-10.75,20.56,27.66,-26.41,206.38,6.22,-33.36,-29.7,-25.85,6.22,-28.16,-42.22,-35.93,15.35,-11.61
-6.82,-18.88,13.08,34.63,-9.11,-6.11,-9.85,-5.73,22.03,32.07,-25.21,152.59,8.82,-41.15,-30.47,-24.39,8.82,-16.87,-39.88,-36.49,17.28,-9.59
-2.6,-11.97,21.25,38.46,2.43,2.84,-5.34,1.26,27.23,39.56,-17.18,23.99,12.83,-36.37,-26.55,-18.75,12.83,-7.27,-31.37,-32.03,23.46,-3.96
-1.19,-3.03,31.68,36.09,17.24,12.1,0.52,7.11,34.08,46.1,-4.07,-133.3,15.33,-18.81,-19.15,-8.92,15.33,-2.7,-19.59,-24.3,31.67,3.12
-1.76,5.93,41.43,28.82,29.1,18.01,5.76,10.24,38.9,50.33,6.48,-256.5,15.16,3.55,-12.3,-1.09,15.16,-4.84,-9.16,-17.41,40.05,9.2
-4.23,9.73,47.25,19.92,34.03,18.24,8.48,9.83,39.29,52.23,9.22,-300.07,12.31,22.1,-9.17,1.51,12.31,-12.13,-3.38,-14.25,45.92,13.19
-8.66,4.39,46.33,11.96,30.64,12.36,7.57,6.06,35.55,51.5,4.79,-247.76,7.63,31.54,-10.89,-0.71,7.63,-21.69,-4.09,-15.82,46.23,13.24
-14.19,-5.5,38.43,8.34,20.88,2.76,3.68,-0.73,28.2,47.07,-2.67,-121.13,1.26,28.36,-16.9,-6.92,1.26,-29.74,-10.58,-21.43,42.24,8.8
-17.14,-14.38,26.97,11.28,8.05,-6.9,-1.17,-8.95,19.33,39.5,-10.05,33.74,-5.99,12.33,-25.67,-17.27,-5.99,-32.52,-19.9,-29.63,36.44,2.18
-16.29,-20.25,16.48,19.88,-2.06,-12.72,-4.87,-14.79,12.03,32.83,-14.9,154.01,-11.33,-9.56,-33.63,-26.77,-11.33,-28.54,-27.64,-36.55,29.74,-4.7
-13.71,-21.95,10.86,30.39,-5.41,-12.6,-6.05,-16.19,8.28,30.31,-16.35,195.45,-13.34,-28.17,-37.57,-30.75,-13.34,-19.48,-30.54,-39.11,26.17,-9.98
-9.87,-17.98,13.0,39.31,-0.12,-6.21,-3.45,-13.25,9.78,33.46,-14.27,140.5,-12.76,-37.66,-35.27,-29.03,-12.76,-8.18,-26.46,-36.15,26.26,-11.51
-6.24,-9.67,22.57,43.02,11.34,3.87,2.12,-5.9,15.82,40.37,-9.0,10.99,-9.6,-35.2,-27.75,-23.17,-9.6,0.95,-17.05,-28.66,30.55,-9.33
-3.41,-1.08,36.66,39.88,25.6,13.46,8.01,1.97,23.63,47.63,-2.22,-146.04,-4.71,-21.11,-17.24,-13.66,-4.71,4.38,-5.35,-19.12,38.27,-5.63
-1.09,5.37,51.25,30.92,36.59,18.97,12.16,8.03,29.53,53.4,2.69,-267.74,0.39,-2.96,-7.89,-6.47,0.39,0.72,4.42,-11.64,46.1,-2.82
-0.55,7.34,61.48,19.21,40.96,18.99,13.38,10.16,30.34,55.35,2.41,-308.75,3.47,11.62,-2.62,-4.24,3.47,-8.26,9.36,-8.52,50.54,-1.69
-4.28,1.74,63.43,9.69,37.68,13.72,11.06,7.61,25.49,52.05,-1.93,-253.07,2.79,18.19,-2.67,-6.08,2.79,-19.34,7.93,-10.3,48.65,-2.48
-12.68,-9.05,55.96,7.13,27.94,5.31,6.18,1.25,16.4,43.97,-5.45,-122.56,0.08,13.09,-7.66,-11.63,0.08,-28.61,0.84,-15.9,41.14,-5.85
-22.32,-21.3,42.97,13.38,15.18,-2.9,1.21,-6.19,5.64,33.56,-6.23,36.32,-2.74,-4.54,-16.14,-21.21,-2.74,-32.68,-9.26,-23.87,31.7,-10.8
-29.51,-28.27,29.52,26.86,5.17,-7.6,-1.95,-10.86,-2.02,23.02,-6.29,159.55,-4.36,-27.73,-24.92,-30.08,-4.36,-30.29,-18.35,-31.17,24.43,-15.5
-31.01,-24.34,20.07,42.08,1.8,-7.49,-2.82,-11.94,-2.05,14.94,-7.74,202.74,-3.67,-47.5,-30.68,-34.59,-3.67,-23.23,-23.42,-35.36,22.4,-18.6
-25.93,-11.6,17.33,54.0,5.92,-2.55,-0.59,-8.15,5.69,14.63,-8.68,148.6,0.28,-58.37,-31.79,-34.74,0.28,-14.27,-22.68,-35.43,26.46,-18.6
-16.45,4.18,21.21,59.27,15.47,5.38,4.2,-1.08,16.41,21.6,-6.93,20.5,6.49,-56.72,-27.84,-30.82,6.49,-7.32,-16.67,-31.28,35.36,-15.38
-6.35,21.29,29.78,56.95,27.59,12.76,9.4,5.81,26.34,30.07,-3.43,-134.78,11.96,-42.93,-20.15,-23.0,11.96,-5.99,-7.88,-24.34,47.52,-10.86
0.77,36.72,39.33,48.99,36.31,16.25,13.73,11.24,31.35,35.33,-1.53,-253.77,17.0,-24.82,-12.38,-16.84,17.0,-11.48,-0.47,-18.24,59.59,-7.26
2.98,46.67,45.07,39.06,38.12,14.17,15.97,14.42,29.42,33.9,-2.79,-291.13,21.02,-10.19,-7.85,-15.19,21.02,-21.79,2.49,-15.85,67.35,-5.88
-0.43,49.87,44.72,31.09,32.39,6.73,14.83,13.56,20.53,25.18,-7.28,-232.62,21.5,-3.55,-8.57,-17.56,21.5,-33.61,-0.58,-18.21,68.99,-6.79
-8.51,47.62,39.66,28.19,21.05,-3.77,10.81,9.05,6.39,13.29,-14.69,-100.71,18.99,-8.09,-14.14,-23.27,18.99,-43.0,-8.57,-24.53,64.59,-10.16
-17.07,42.83,31.23,32.0,7.24,-13.86,5.96,3.99,-9.45,1.63,-23.94,58.54,15.54,-23.9,-23.26,-32.47,15.54,-46.25,-18.76,-32.85,57.73,-14.86
-22.71,39.36,22.1,41.06,-3.19,-20.18,2.44,0.12,-22.69,-7.63,-32.13,181.59,12.67,-44.0,-32.16,-40.13,12.67,-41.9,-26.75,-39.88,52.45,-18.48
-23.98,40.43,16.89,51.33,-6.56,-20.95,1.23,-1.71,-30.09,-13.56,-36.72,224.39,12.79,-59.93,-37.15,-42.4,12.79,-31.97,-29.34,-42.82,50.11,-20.1
-20.16,47.13,18.77,58.91,-1.64,-15.74,3.46,0.7,-30.25,-15.79,-36.28,169.43,15.63,-66.59,-36.07,-39.19,15.63,-19.81,-25.14,-40.16,51.68,-19.01
-12.57,56.58,26.31,59.59,9.34,-7.17,8.25,5.67,-24.48,-15.32,-31.37,40.21,20.39,-60.43,-29.02,-31.3,20.39,-9.55,-15.33,-31.93,56.87,-14.77
-6.13,66.13,35.54,52.23,22.71,0.89,13.34,11.48,-16.33,-13.87,-23.37,-115.98,25.67,-41.51,-17.77,-19.34,25.67,-4.84,-2.93,-20.07,63.29,-9.17
-3.49,74.4,42.51,39.48,32.34,4.9,17.08,16.76,-10.45,-13.44,-15.25,-236.12,29.49,-17.96,-6.77,-9.32,29.49,-7.25,7.44,-9.33,68.84,-3.93
-5.71,78.88,43.76,25.19,34.32,3.02,18.01,19.33,-10.01,-16.68,-9.66,-275.01,31.58,1.72,0.58,-4.18,31.58,-15.27,12.61,-2.98,71.07,-0.6
-12.55,76.16,37.71,12.86,27.85,-4.6,15.1,17.23,-15.05,-24.92,-7.23,-217.07,31.03,12.47,2.7,-3.44,31.03,-25.39,11.21,-1.53,67.46,0.15
-21.71,67.02,27.09,5.59,15.29,-15.91,9.07,11.62,-23.6,-36.24,-7.75,-85.22,27.84,10.85,-0.57,-6.7,27.84,-33.94,3.92,-4.92,60.21,-1.71
-29.42,54.91,15.32,4.98,-0.17,-27.48,2.01,5.73,-33.6,-46.4,-9.68,73.87,24.11,-3.42,-7.97,-14.11,24.11,-37.32,-6.79,-11.94,51.87,-4.38
-32.72,45.99,5.22,10.14,-12.51,-35.5,-4.05,-0.2,-41.63,-52.12,-9.94,196.09,19.7,-22.77,-15.73,-20.37,19.7,-33.94,-16.12,-18.91,45.22,-5.92
-32.16,42.77,-1.6,18.13,-17.56,-37.58,-7.24,-4.22,-45.0,-51.98,-6.67,237.39,15.39,-37.93,-19.93,-21.33,15.39,-24.97,-20.19,-21.94,41.63,-5.29
-28.81,45.09,-2.25,24.21,-14.26,-33.42,-6.5,-2.82,-42.36,-45.66,-0.54,181.55,15.01,-43.46,-18.36,-17.0,15.01,-13.61,-17.28,-19.55,41.52,-1.82
-25.66,52.73,2.71,24.43,-4.87,-25.53,-2.78,3.25,-34.26,-35.38,6.79,51.48,18.42,-36.07,-11.49,-8.45,18.42,-3.95,-8.68,-12.15,44.52,4.61
-23.13,61.17,11.11,17.01,7.3,-17.6,1.48,10.27,-22.93,-25.34,15.17,-105.89,21.71,-16.21,-1.29,3.75,21.71,0.52,2.42,-1.45,48.52,13.1
-21.83,65.03,18.54,4.62,16.38,-13.18,4.65,15.55,-13.26,-17.05,23.92,-227.35,23.09,8.06,8.13,13.67,23.09,-1.68,11.54,8.57,51.3,21.07
-23.15,63.44,20.85,-8.29,18.47,-14.08,5.39,17.33,-9.06,-12.58,30.72,-268.34,21.85,28.17,13.45,18.41,21.85,-9.39,15.38,14.24,50.61,26.35
-26.95,56.83,16.0,-18.51,12.59,-20.71,2.43,13.57,-11.73,-13.29,34.19,-213.63,17.88,38.86,13.0,17.98,17.88,-19.49,12.46,13.97,46.24,28.23
-31.82,47.24,4.66,-23.02,1.01,-30.52,-3.98,4.3,-19.57,-17.22,34.18,-85.1,11.93,37.17,7.32,13.33,11.93,-27.73,3.84,8.27,38.69,27.08
-35.91,35.81,-9.49,-20.73,-12.72,-39.52,-10.7,-6.04,-29.22,-21.51,29.9,71.44,5.51,23.6,-1.51,4.81,5.51,-30.1,-7.4,-0.64,30.25,24.16
-36.69,25.42,-21.87,-13.19,-22.93,-44.07,-15.42,-13.87,-37.44,-23.45,22.57,193.1,0.07,5.35,-9.58,-2.13,0.07,-25.11,-16.69,-8.65,22.74,21.77
-33.05,20.95,-28.3,-3.35,-26.14,-42.69,-17.4,-18.52,-40.96,-22.08,15.39,235.3,-3.58,-9.14,-13.73,-3.86,-3.58,-14.82,-20.91,-12.22,18.41,20.7
-25.92,23.08,-26.17,5.42,-21.29,-35.63,-15.61,-18.34,-37.64,-17.91,11.92,179.87,-4.4,-14.87,-12.27,-0.74,-4.4,-2.65,-18.42,-10.23,19.33,22.45
-18.35,30.0,-17.86,9.66,-10.86,-25.22,-11.03,-13.42,-28.23,-11.19,13.69,50.25,-2.26,-8.64,-5.63,5.99,-2.26,7.02,-10.53,-3.88,23.96,26.53
-13.18,38.78,-9.22,6.99,1.71,-15.33,-6.01,-5.58,-15.84,-4.13,20.12,-106.07,2.1,9.21,4.48,15.78,2.1,10.58,-0.24,5.06,28.96,31.99
-10.53,45.72,-3.3,-2.06,10.28,-9.26,-2.55,2.25,-5.77,1.53,28.47,-226.09,6.58,30.85,13.83,22.84,6.58,7.06,7.95,12.64,33.01,36.75
-10.74,47.03,-1.28,-13.61,11.81,-8.81,-1.63,7.25,-2.43,3.97,33.94,-264.7,9.4,47.63,19.41,24.68,9.4,-2.06,11.24,15.98,34.34,38.63
-12.97,40.22,-4.51,-23.49,5.76,-13.85,-4.24,5.78,-5.76,2.82,31.56,-206.48,9.2,54.94,20.09,21.87,9.2,-13.2,8.67,14.3,31.65,37.55
-17.36,30.1,-12.43,-28.68,-5.89,-22.16,-9.88,-1.25,-13.22,-1.55,21.5,-74.34,6.39,49.67,16.29,15.23,6.39,-22.35,0.98,8.06,26.2,34.56
-24.37,21.72,-21.36,-26.78,-20.24,-30.02,-16.38,-9.63,-21.17,-7.92,9.23,84.19,2.65,32.15,9.18,5.0,2.65,-26.34,-9.35,-0.72,19.5,30.41
-32.04,16.2,-28.3,-18.49,-31.44,-33.94,-21.17,-15.62,-25.75,-14.02,0.47,205.02,-0.08,9.84,2.56,-3.48,-0.08,-23.5,-18.09,-8.14,13.54,26.09
-36.07,13.07,-31.84,-7.94,-35.26,-32.44,-22.97,-17.71,-25.29,-16.8,-1.8,244.35,0.06,-8.37,-0.21,-6.48,0.06,-15.37,-21.83,-11.13,10.63,23.02
-33.13,13.85,-30.41,0.79,-30.56,-25.23,-21.18,-15.46,-20.49,-14.08,2.18,186.19,3.77,-17.23,2.69,-4.12,3.77,-5.15,-19.12,-8.55,12.18,22.77
-25.3,17.69,-22.92,4.62,-19.66,-14.76,-16.23,-9.64,-12.87,-6.83,9.67,54.67,9.75,-13.67,10.43,2.11,9.75,3.11,-11.08,-1.54,16.75,25.34
-17.39,25.25,-12.28,1.76,-6.08,-4.54,-10.46,-3.61,-4.1,0.83,17.59,-102.77,15.8,2.09,21.1,11.89,15.8,6.01,-0.5,7.7,23.03,28.43
-11.92,32.15,-2.4,-5.68,4.33,2.12,-5.49,2.05,3.79,4.91,21.99,-223.06,20.9,21.92,30.75,19.24,20.9,2.35,8.42,15.35,28.76,29.41
-9.21,34.48,4.03,-14.52,7.8,3.22,-2.98,5.69,7.39,4.39,20.61,-262.02,23.7,37.41,35.97,21.1,23.7,-6.53,12.44,18.54,31.52,27.12
-9.78,31.72,4.8,-22.03,3.35,-1.44,-3.91,5.49,3.52,-1.05,13.69,-204.92,23.88,43.25,35.23,17.7,23.88,-17.56,10.1,16.43,30.31,21.55
-13.8,25.04,-0.01,-24.8,-6.77,-8.86,-7.13,2.46,-7.25,-8.82,3.15,-75.59,20.95,36.34,29.39,9.93,20.95,-26.35,2.75,9.79,26.23,13.81
-19.13,17.71,-8.31,-20.66,-18.8,-15.29,-10.06,-1.75,-20.35,-16.5,-8.21,79.47,16.01,17.1,20.06,-1.78,16.01,-29.25,-7.0,0.31,21.41,5.49
-22.78,12.8,-15.8,-10.37,-27.15,-17.42,-11.0,-5.75,-30.19,-21.83,-17.26,197.49,10.91,-7.13,10.83,-12.43,10.91,-25.23,-14.93,-8.16,17.04,-1.09
-22.53,11.85,-18.99,2.48,-28.29,-13.88,-9.0,-7.96,-33.77,-23.01,-22.25,234.72,5.98,-26.75,5.07,-17.96,5.98,-16.0,-17.89,-11.85,14.44,-4.01
-17.61,15.2,-15.79,14.14,-21.33,-4.95,-3.23,-5.54,-29.91,-19.83,-23.38,174.96,3.13,-36.48,4.77,-18.23,3.13,-4.68,-14.49,-9.55,16.09,-3.02
-10.94,22.13,-7.3,20.6,-8.81,6.44,5.09,1.67,-20.84,-13.17,-20.35,42.13,3.55,-33.46,9.44,-14.12,3.55,4.32,-6.05,-2.47,21.55,0.77
-4.64,29.99,2.93,19.6,5.84,16.2,13.18,11.48,-9.92,-6.45,-13.38,-116.0,6.88,-18.24,17.38,-6.46,6.88,7.04,3.91,6.88,28.69,5.18
