Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
-3.76,-3.88,7.33,-0.17,7.26,11.32,2.2,12.83,-12.1,-9.57,8.2,-0.01,-9.57,-2.2,2.73,0.58,-8.25,9.91,-1.37,-10.42,-1.08
-5.1,-2.04,-1.32,-0.43,7.74,10.69,0.92,4.82,-19.62,-6.6,11.49,2.26,-5.25,-1.39,1.87,5.55,-6.51,14.5,-4.84,-9.65,2.97
-3.54,-2.25,-11.92,-2.35,8.22,10.37,-1.9,-6.87,-23.91,-2.59,16.65,4.38,0.6,0.96,1.35,9.67,-3.48,17.76,-8.31,-8.34,5.7
0.04,-4.08,-20.54,-5.36,8.23,9.52,-6.09,-18.84,-22.29,1.18,22.96,5.65,6.26,4.59,1.2,10.82,0.51,17.87,-10.49,-6.63,5.84
4.71,-6.37,-24.24,-8.8,7.95,7.86,-11.03,-26.5,-13.93,3.64,25.86,5.71,9.91,8.84,1.45,8.76,5.0,14.89,-11.38,-5.83,3.79
8.34,-8.04,-20.35,-11.53,9.3,7.08,-13.31,-27.58,-2.67,3.34,20.92,3.63,9.97,11.62,2.37,3.95,8.0,10.06,-9.42,-5.45,-0.04
9.47,-9.18,-11.77,-12.37,10.44,5.28,-13.29,-21.83,8.44,1.46,14.74,1.0,7.64,12.62,2.68,-2.01,9.48,4.66,-6.39,-7.51,-3.4
8.65,-9.65,-1.9,-11.44,11.12,2.47,-11.64,-10.29,16.55,-1.26,10.39,-1.6,4.04,11.9,1.31,-7.93,9.59,0.25,-4.35,-10.53,-5.4
6.41,-8.99,6.53,-9.08,12.34,0.1,-7.86,2.21,18.24,-4.14,5.62,-3.49,0.69,9.51,-1.38,-11.89,8.02,-1.38,-3.46,-13.14,-4.51
4.29,-6.66,10.89,-5.82,13.71,-0.99,-2.58,9.36,12.75,-5.88,0.3,-4.29,-0.79,6.63,-4.53,-12.08,5.55,0.37,-3.03,-14.02,-2.87
3.51,-3.45,8.12,-2.75,13.33,-2.66,0.47,8.94,3.69,-4.72,-2.95,-2.79,1.19,5.39,-7.96,-8.38,4.29,4.13,-4.59,-13.75,1.12
5.37,-0.76,-0.23,-1.14,12.62,-4.04,1.11,2.18,-5.83,-1.53,-3.41,-0.43,5.84,6.01,-10.45,-2.63,4.49,8.26,-7.43,-13.72,5.83
8.82,0.45,-10.61,-0.88,12.23,-4.59,0.21,-8.24,-13.58,1.3,-1.38,2.0,11.01,8.02,-11.26,3.76,5.0,11.15,-9.35,-12.02,8.12
12.97,-0.8,-19.41,-1.75,10.96,-5.42,-2.42,-18.6,-16.88,2.29,2.69,4.26,15.08,11.07,-10.18,9.26,5.68,11.0,-9.8,-6.91,7.03
17.51,-3.83,-24.63,-4.15,8.63,-7.19,-6.74,-25.78,-13.63,1.78,9.16,6.84,17.22,14.89,-7.83,12.65,6.77,7.78,-9.32,-3.04,3.1
21.46,-7.01,-22.98,-7.15,7.55,-7.87,-9.69,-27.42,-6.24,-0.74,15.89,6.41,16.2,17.3,-4.99,9.72,6.93,2.97,-6.7,0.01,-3.49
23.61,-8.28,-16.06,-8.94,7.06,-8.41,-11.06,-23.42,2.28,-4.21,21.62,3.48,13.09,18.18,-3.16,0.96,6.4,-1.89,-3.2,0.76,-8.74
23.25,-8.25,-7.54,-9.23,6.44,-8.4,-10.51,-14.3,8.38,-8.17,23.59,0.19,8.88,17.51,-2.18,-7.76,5.08,-4.66,-0.49,-1.44,-10.5
20.55,-6.8,0.02,-7.88,6.8,-6.5,-6.91,-3.47,9.13,-11.54,18.88,-2.39,4.82,15.31,-1.74,-13.43,2.96,-3.68,1.46,-6.55,-9.33
16.96,-3.96,4.23,-5.44,8.39,-2.63,-0.85,3.6,3.97,-13.03,8.4,-3.35,2.53,12.43,-1.73,-14.66,0.86,1.14,3.14,-12.79,-7.39
14.2,-0.94,1.68,-2.85,8.88,1.11,3.79,4.33,-4.17,-11.34,-2.65,-1.87,3.3,10.8,-2.6,-11.52,0.29,7.8,2.78,-17.29,-3.7
13.54,0.76,-6.1,-1.57,8.88,5.12,6.46,-0.95,-12.2,-7.67,-11.31,-0.06,6.33,10.59,-3.78,-6.13,1.21,14.64,1.11,-19.45,0.55
14.0,0.27,-14.14,-1.04,9.32,9.66,7.98,-9.24,-18.38,-4.31,-15.04,0.5,9.76,11.12,-4.64,-0.73,2.93,19.73,-0.01,-20.57,2.77
15.76,-2.48,-19.67,-1.35,9.92,13.54,7.7,-18.01,-20.25,-2.24,-13.05,-0.55,12.23,12.08,-5.01,2.22,5.35,20.99,-0.09,-18.48,1.31
18.75,-5.91,-21.95,-3.03,10.16,16.08,5.58,-24.37,-16.35,-2.13,-6.33,-2.69,12.59,13.03,-4.96,1.25,7.99,18.17,0.1,-13.07,-3.08
20.69,-9.35,-18.62,-4.83,11.6,19.22,5.28,-25.4,-8.74,-4.67,1.33,-6.66,9.9,12.67,-3.62,-2.76,9.14,13.06,2.6,-10.43,-10.7
19.75,-11.59,-11.05,-4.79,12.8,21.51,6.68,-19.97,0.28,-8.25,5.21,-10.85,5.63,11.44,-2.34,-7.72,8.88,7.43,6.15,-11.49,-18.16
16.39,-12.64,-2.41,-3.01,13.07,22.92,9.36,-8.74,8.14,-12.03,2.44,-13.59,0.87,9.45,-1.93,-11.65,7.39,3.54,8.83,-14.74,-21.98
11.67,-11.97,4.6,-0.0,13.61,24.52,13.69,3.88,10.83,-15.82,-3.93,-14.96,-3.53,6.47,-2.41,-14.31,4.53,3.34,10.49,-18.45,-22.51
6.98,-10.46,7.86,3.11,14.42,26.61,18.63,11.05,6.66,-18.15,-6.87,-15.37,-6.33,3.29,-3.55,-15.52,0.6,6.79,11.31,-20.5,-20.69
3.66,-8.59,5.04,5.29,13.26,27.24,20.69,9.94,-1.41,-17.08,-3.79,-13.51,-6.25,1.96,-5.33,-14.0,-1.96,12.36,9.58,-21.49,-15.53
2.89,-7.86,-2.35,5.8,10.8,27.5,20.0,2.57,-10.36,-14.06,0.92,-9.82,-3.37,2.71,-6.49,-9.24,-2.92,18.27,6.25,-22.47,-8.53
4.02,-8.29,-11.79,5.13,8.43,27.96,17.94,-7.48,-17.89,-10.72,3.53,-5.69,0.8,5.29,-6.12,-3.31,-2.93,22.88,3.48,-22.77,-2.08
6.41,-9.63,-20.38,3.62,6.29,27.57,14.05,-17.4,-20.66,-7.82,5.62,-2.72,4.99,9.39,-4.76,0.23,-1.96,24.05,1.74,-21.0,2.74
9.63,-11.37,-24.46,1.63,4.95,25.88,8.72,-22.98,-16.81,-6.03,8.41,-2.14,7.77,14.14,-3.13,-0.61,0.01,21.63,0.52,-17.11,1.54
11.94,-12.88,-20.22,0.07,4.93,24.48,5.39,-22.28,-9.47,-7.16,9.9,-4.16,7.11,17.25,-1.33,-5.66,0.97,16.74,1.62,-12.31,-4.83
11.62,-13.35,-9.9,0.32,3.98,22.06,3.99,-15.86,-1.91,-10.32,9.49,-6.26,3.47,17.92,-0.6,-12.46,0.71,11.04,3.84,-9.85,-7.99
9.17,-12.47,2.61,2.24,3.56,19.02,4.07,-6.18,4.22,-13.15,7.57,-8.1,-0.91,16.36,-1.55,-18.76,0.34,6.83,5.14,-10.27,-9.84
5.81,-9.73,13.48,5.56,5.13,16.67,6.17,3.44,5.48,-15.25,4.43,-10.0,-4.75,12.87,-4.15,-22.88,-0.56,5.86,5.01,-11.51,-11.09
1.98,-6.08,19.32,10.31,7.78,15.16,9.97,9.62,0.18,-16.47,0.98,-10.92,-7.01,8.41,-7.81,-23.51,-2.32,7.93,3.83,-11.02,-10.39
-0.72,-2.69,18.19,15.85,9.13,12.78,12.33,10.94,-8.13,-15.21,-1.0,-9.95,-5.87,5.42,-12.05,-20.84,-2.75,11.92,0.38,-8.4,-9.53
-1.13,-1.68,11.94,20.15,9.0,10.56,13.16,8.53,-16.6,-12.28,-2.17,-7.75,-1.99,4.38,-15.68,-16.37,-1.65,16.38,-4.29,-4.58,-8.23
0.97,-2.56,4.39,21.6,8.25,9.56,12.91,3.05,-22.97,-8.9,-2.36,-5.71,3.3,5.19,-17.65,-11.89,0.49,19.97,-7.86,-3.18,-7.02
4.4,-4.69,-1.91,20.27,7.34,8.89,10.67,-2.9,-24.76,-6.46,-1.67,-3.97,8.47,7.41,-18.08,-9.07,3.37,21.03,-9.93,-1.95,-6.86
8.19,-7.4,-5.29,16.46,7.04,7.93,6.38,-6.41,-20.46,-5.46,-0.28,-2.85,11.76,10.25,-17.58,-8.14,6.73,18.96,-11.31,-0.74,-7.99
10.66,-9.79,-3.1,11.45,9.04,7.99,3.18,-5.84,-13.42,-7.37,-0.31,-2.98,11.18,11.66,-15.86,-8.19,8.4,14.84,-10.61,0.27,-11.41
11.18,-10.91,3.33,7.5,11.54,7.53,1.29,-0.49,-6.48,-11.26,-0.88,-3.01,7.32,11.03,-14.03,-9.01,8.58,10.08,-8.93,0.19,-14.85
10.76,-10.27,11.7,5.18,14.1,6.89,0.51,8.68,-1.33,-15.68,-1.24,-3.91,1.84,8.73,-13.0,-12.49,8.11,6.91,-7.87,-1.3,-16.46
9.8,-7.47,19.19,4.53,17.66,7.26,1.97,18.16,-0.09,-19.21,-2.26,-6.57,-3.32,5.13,-13.42,-18.51,7.25,6.94,-7.54,-4.14,-15.48
8.64,-3.59,22.53,5.23,21.62,8.72,5.15,23.76,-3.65,-20.83,-4.77,-9.35,-6.51,1.47,-14.91,-23.21,6.45,9.89,-7.49,-7.45,-11.92
8.06,0.07,19.14,6.72,23.24,9.08,6.97,24.44,-10.34,-19.83,-5.85,-9.8,-6.51,-0.49,-17.3,-23.78,6.9,14.31,-9.33,-9.96,-5.9
9.29,2.21,10.68,7.21,23.3,9.29,6.92,19.2,-17.06,-16.62,-5.49,-8.78,-3.14,-0.08,-19.53,-21.01,8.79,19.01,-12.15,-10.59,-1.47
11.85,2.67,0.83,6.38,22.65,9.78,5.63,8.08,-21.42,-12.22,-5.05,-7.2,2.2,2.43,-20.63,-17.53,11.71,22.34,-14.22,-8.73,0.55
15.17,1.54,-6.99,4.88,21.26,9.51,3.1,-4.33,-21.49,-8.47,-5.6,-6.38,7.7,6.61,-20.38,-15.83,15.28,22.8,-14.84,-3.84,0.35
19.06,0.09,-9.17,2.94,19.38,8.05,-0.34,-12.03,-16.44,-6.69,-8.42,-7.2,11.26,11.1,-19.05,-17.09,18.91,20.24,-14.35,1.71,-1.85
21.55,-1.32,-2.78,1.46,18.88,7.13,-1.76,-12.62,-9.09,-8.14,-12.28,-9.69,10.72,13.45,-16.74,-20.66,20.27,15.5,-11.43,4.21,-6.45
21.54,-2.05,7.69,1.36,18.66,5.36,-1.86,-7.99,-1.16,-10.53,-13.93,-12.79,7.14,13.53,-14.92,-25.99,19.9,9.48,-7.89,5.13,-10.37
20.28,-0.56,16.93,1.61,18.86,3.31,-1.09,-1.98,5.59,-12.51,-12.86,-15.55,2.36,11.78,-14.27,-32.05,18.85,4.56,-5.47,4.36,-11.85
17.53,3.15,23.67,3.04,20.09,2.07,1.67,3.44,7.28,-14.27,-10.61,-17.57,-2.2,8.2,-14.56,-36.09,16.79,2.47,-4.04,1.66,-11.37
12.79,6.77,25.74,5.97,21.42,1.72,6.13,6.34,2.33,-15.06,-7.94,-17.79,-4.89,3.83,-15.28,-35.73,13.77,3.41,-3.03,-2.18,-7.86
7.85,10.22,21.62,9.05,20.83,0.44,8.66,4.94,-6.43,-13.79,-3.48,-14.98,-4.37,0.76,-16.51,-30.59,11.58,6.16,-4.15,-4.99,-2.33
4.11,11.86,13.25,10.78,18.88,-0.72,9.0,-0.41,-15.9,-10.92,2.1,-10.76,-1.48,-0.57,-17.56,-22.71,10.29,9.27,-6.55,-4.72,3.18
2.15,12.12,3.83,11.37,16.93,-0.6,8.09,-8.36,-23.37,-7.78,4.44,-6.54,2.81,-0.09,-17.47,-14.83,9.96,11.26,-8.19,-3.1,7.52
2.67,10.98,-4.02,10.98,15.15,0.04,5.67,-16.25,-24.75,-4.48,1.02,-2.78,7.6,2.29,-16.14,-9.57,11.14,10.63,-8.39,-0.88,9.17
4.55,8.85,-7.67,9.54,13.48,0.05,1.76,-20.5,-19.0,-2.3,-3.17,-0.35,10.24,5.07,-14.41,-8.14,13.08,6.74,-8.24,2.56,7.97
5.92,6.68,-4.61,7.6,13.58,0.69,-0.66,-19.01,-9.74,-2.9,-5.13,-0.67,8.22,5.84,-12.61,-10.87,13.61,0.96,-6.31,5.85,3.75
5.92,5.3,3.3,6.49,13.93,0.61,-1.81,-11.87,-0.44,-5.29,-4.07,-2.06,2.87,4.51,-11.72,-15.97,12.73,-5.33,-3.77,7.93,-1.07
5.38,5.35,13.16,5.88,14.34,0.16,-1.92,-1.93,6.65,-8.48,-1.43,-3.76,-3.67,1.37,-12.36,-21.7,10.71,-10.25,-2.3,8.88,-3.76
4.36,7.02,22.12,6.13,15.86,0.82,0.19,6.92,8.34,-11.37,1.0,-5.93,-9.6,-3.18,-14.19,-26.55,7.59,-11.95,-1.69,8.85,-4.53
2.55,9.16,27.03,7.92,17.81,2.95,4.62,11.95,3.62,-13.02,2.08,-7.46,-13.15,-7.84,-16.07,-28.35,3.89,-9.92,-1.13,7.48,-4.08
1.24,10.91,24.12,10.4,17.28,4.72,8.0,12.07,-4.16,-12.33,2.07,-6.03,-12.89,-10.49,-17.67,-24.97,1.94,-5.44,-2.1,4.32,-0.88
1.92,11.56,15.31,11.56,15.37,6.68,9.59,6.97,-11.85,-10.03,0.84,-2.52,-9.53,-10.9,-18.16,-17.48,2.03,-0.53,-4.06,0.46,2.75
4.61,11.0,4.3,10.56,13.53,9.07,9.4,-2.89,-17.03,-6.53,-0.4,1.23,-4.67,-9.31,-17.11,-9.33,3.59,3.07,-5.48,-2.78,5.01
8.41,8.33,-5.73,7.57,11.28,10.66,6.91,-13.91,-17.57,-3.25,-0.07,4.05,0.29,-5.91,-14.81,-3.48,6.04,3.86,-5.72,-3.61,6.51
12.5,4.36,-11.68,2.85,8.89,10.71,2.34,-21.43,-12.98,-1.68,2.26,5.17,3.55,-1.91,-11.91,-1.24,8.49,1.5,-5.57,-1.94,7.65
15.31,0.91,-9.92,-1.24,8.22,11.22,-0.46,-22.25,-6.47,-3.09,3.96,3.1,3.77,0.8,-8.48,-3.22,9.17,-2.5,-3.25,0.06,4.33
15.81,-0.56,-3.02,-2.19,8.1,10.99,-1.26,-14.61,-0.24,-6.09,3.83,-0.68,1.75,2.08,-5.73,-8.0,8.29,-6.66,-0.09,0.95,-2.65
15.08,0.3,5.0,-1.28,8.13,10.16,-0.88,-1.87,4.04,-9.5,0.81,-4.82,-1.66,1.88,-4.48,-13.63,6.28,-9.09,1.97,1.22,-7.77
13.33,3.59,12.02,-0.08,9.14,9.99,0.73,8.76,3.72,-11.99,-4.47,-8.59,-4.9,0.39,-4.72,-18.65,3.4,-7.89,2.86,1.02,-7.8
10.3,7.35,15.53,1.27,10.42,11.16,3.49,12.74,-2.41,-12.18,-9.75,-10.72,-6.33,-1.3,-5.68,-20.22,-0.01,-3.03,3.45,1.46,-5.8
7.18,9.42,12.15,1.98,9.8,11.68,4.44,9.75,-11.08,-9.45,-10.86,-9.68,-4.53,-1.11,-7.04,-17.04,-1.93,4.04,2.29,0.68,-0.97
6.03,9.75,3.69,0.9,8.69,12.14,3.43,1.21,-19.01,-5.61,-6.66,-7.27,-0.99,0.97,-8.03,-10.95,-2.04,11.38,-0.04,-1.07,3.21
7.0,8.84,-6.0,-1.38,8.07,12.64,1.15,-10.45,-24.28,-2.35,-0.85,-4.89,2.82,4.37,-8.31,-4.25,-1.16,16.84,-1.93,-0.82,4.7
9.04,6.79,-13.62,-3.27,7.33,12.14,-2.13,-20.52,-24.64,-0.62,0.75,-2.33,6.04,8.95,-7.39,0.99,0.52,18.88,-2.48,0.72,4.58
11.28,3.59,-16.97,-3.96,6.17,10.63,-5.74,-24.0,-19.18,-0.92,-3.78,0.21,7.48,13.94,-5.51,3.37,2.76,17.54,-2.0,2.54,2.22
12.99,0.26,-13.75,-3.53,6.86,9.95,-6.9,-20.66,-10.66,-3.99,-11.63,0.28,5.8,17.5,-3.07,0.89,4.28,14.41,0.88,4.16,-4.41
13.3,-1.41,-6.92,-2.19,8.5,8.45,-6.67,-12.33,-1.62,-8.26,-18.69,-1.61,2.07,19.12,-1.58,-4.78,5.28,10.43,4.45,5.09,-10.89
11.72,-1.47,0.38,-0.76,10.3,6.78,-5.44,-2.06,5.03,-12.1,-21.8,-4.16,-2.65,18.93,-1.64,-10.98,5.58,7.92,7.02,3.7,-14.32
8.49,-0.02,6.07,0.56,12.46,6.2,-2.39,6.15,6.18,-14.35,-21.09,-6.76,-7.18,16.96,-2.94,-15.84,4.54,8.57,8.38,-0.85,-13.02
4.39,2.15,8.17,2.52,14.59,6.82,2.0,10.05,0.87,-14.61,-19.69,-8.92,-10.05,14.22,-4.81,-16.81,2.61,12.24,8.97,-6.33,-8.05
1.41,3.66,4.31,4.62,14.38,7.07,4.18,8.73,-7.52,-11.85,-18.35,-9.02,-9.33,13.08,-7.16,-12.63,2.08,17.87,7.16,-11.2,-1.16
1.34,3.51,-4.01,5.33,12.78,7.85,3.8,2.12,-15.68,-7.86,-16.63,-7.28,-5.94,13.86,-8.94,-5.41,3.46,23.8,3.9,-14.47,4.63
3.6,2.22,-14.14,4.43,11.74,9.11,1.91,-7.59,-21.32,-4.21,-14.33,-5.26,-1.34,16.06,-9.54,1.14,6.0,28.04,1.21,-15.12,7.49
6.73,-1.38,-23.15,2.67,10.58,9.42,-1.33,-16.12,-22.07,-1.36,-12.74,-3.09,3.18,19.1,-9.07,5.54,9.17,28.88,-0.14,-11.92,7.0
9.65,-6.52,-27.93,0.36,9.52,8.32,-5.4,-19.37,-16.85,-0.21,-10.51,-1.05,5.88,21.99,-7.83,6.95,12.36,26.1,-0.56,-9.46,4.29
10.89,-11.55,-25.62,-2.39,10.22,7.38,-7.6,-17.28,-8.87,-1.96,-7.98,-0.73,5.07,22.83,-5.96,4.6,13.81,20.97,1.19,-7.63,0.29
9.95,-14.94,-18.23,-4.36,10.64,5.4,-8.29,-10.56,-0.36,-5.16,-5.84,-0.72,2.06,21.75,-4.72,0.04,13.96,15.02,3.48,-7.47,-1.95
7.49,-15.89,-8.96,-5.25,10.9,3.11,-7.6,-0.79,6.57,-8.27,-4.8,-0.6,-1.69,19.27,-4.21,-3.81,13.06,10.47,5.19,-9.97,-4.38
3.36,-14.79,-0.23,-4.9,11.61,1.59,-4.75,8.25,7.76,-10.55,-5.17,-0.05,-5.81,15.19,-4.45,-5.29,10.47,8.86,6.2,-12.52,-4.74
-1.47,-12.69,4.85,-3.51,12.46,0.96,-0.36,12.33,2.46,-10.98,-7.38,1.94,-8.58,10.35,-5.28,-3.83,7.13,10.4,7.02,-13.92,-1.82
-5.3,-9.98,2.75,-1.45,11.68,-0.68,2.51,10.99,-6.1,-9.21,-9.22,6.27,-8.27,6.85,-6.66,0.14,5.11,13.58,5.99,-13.16,4.1
-6.39,-7.82,-5.45,-0.03,10.32,-2.41,3.72,4.37,-14.43,-5.62,-9.94,11.37,-5.2,5.15,-7.42,5.64,4.67,16.97,3.98,-11.1,9.38
-5.19,-7.13,-15.61,0.54,8.95,-3.84,3.65,-6.38,-20.25,-1.84,-9.31,15.36,-0.91,5.03,-6.79,11.49,4.9,18.45,2.66,-6.96,12.83
-2.43,-8.09,-23.83,1.18,7.14,-5.82,2.42,-16.35,-21.04,0.98,-8.27,17.24,2.84,6.36,-4.58,16.02,5.98,16.53,2.8,-3.09,13.62
0.84,-10.21,-26.92,2.41,4.94,-8.56,0.55,-20.38,-16.46,1.85,-7.66,17.33,3.45,8.23,-1.48,17.7,7.58,11.39,3.79,-1.01,12.08
3.17,-12.05,-22.28,4.5,4.53,-10.43,0.78,-17.81,-9.74,-0.33,-8.61,14.92,0.05,8.31,1.83,15.2,8.16,4.28,6.85,0.68,7.48
3.17,-13.08,-12.39,7.84,4.36,-13.17,2.22,-9.57,-2.92,-3.89,-10.13,11.99,-5.89,6.45,4.06,9.99,7.68,-3.58,10.28,2.57,3.66
1.1,-13.04,-0.87,11.53,3.63,-16.57,4.57,3.12,1.63,-7.73,-10.59,9.77,-13.18,2.86,4.93,4.69,6.1,-10.15,12.4,2.09,3.38
-1.85,-10.35,9.05,14.88,3.24,-19.28,8.08,15.31,1.44,-10.81,-9.82,7.86,-20.18,-2.14,4.57,0.54,3.33,-13.31,13.19,0.67,5.31
-5.11,-6.07,14.32,17.4,3.38,-20.72,12.02,21.37,-3.69,-11.51,-7.72,6.71,-24.55,-6.94,3.63,-0.83,0.51,-12.66,13.38,0.06,6.96
-8.17,-1.88,12.14,18.41,2.36,-22.41,13.38,20.64,-11.09,-9.22,-3.14,7.36,-24.69,-9.3,2.19,1.48,-0.56,-9.4,11.62,0.2,10.2
-10.12,0.21,5.57,17.9,0.27,-23.08,12.55,15.56,-18.89,-6.6,1.89,8.9,-21.9,-9.3,1.42,6.88,-0.45,-5.16,9.09,1.9,13.61
-10.37,0.45,-2.54,15.77,-2.16,-22.09,10.63,7.0,-25.41,-4.62,7.19,11.13,-18.16,-7.43,2.02,13.54,0.0,-1.65,7.74,2.8,16.47
-8.74,-0.95,-10.02,12.7,-4.95,-20.55,7.38,-1.95,-27.62,-3.18,10.75,13.72,-15.08,-4.34,3.77,19.39,0.66,-0.83,8.02,4.0,18.0
-5.82,-3.84,-14.27,10.37,-7.35,-18.33,3.73,-5.85,-23.97,-2.47,7.01,15.2,-13.68,-0.79,6.08,22.34,1.85,-2.49,9.41,6.79,16.33
-2.82,-6.29,-12.13,9.24,-7.12,-14.37,2.86,-4.2,-17.75,-4.05,-3.49,13.75,-15.05,1.29,8.51,20.55,2.2,-5.39,13.07,9.67,11.89
-0.9,-7.01,-4.54,9.45,-5.82,-11.15,3.15,1.02,-10.93,-6.42,-12.07,10.23,-18.28,1.46,9.17,14.17,1.96,-8.6,16.51,11.01,7.89
-0.6,-6.22,4.96,10.52,-3.78,-8.72,4.0,8.88,-5.94,-8.71,-16.44,6.14,-22.31,-0.17,7.94,6.21,1.35,-10.58,18.25,10.08,5.41
-2.43,-3.92,12.96,12.25,-0.69,-6.12,6.47,17.06,-6.35,-10.7,-17.81,2.66,-25.92,-3.56,5.4,-0.48,-0.45,-10.17,18.54,8.97,4.64
-5.63,-0.63,17.03,14.57,2.77,-3.36,10.11,21.19,-12.6,-11.63,-17.83,0.41,-27.25,-7.42,2.1,-4.37,-2.82,-7.18,17.8,9.19,5.95
-8.21,2.48,14.39,16.51,4.56,-1.7,11.82,19.37,-20.67,-9.49,-15.93,0.67,-24.58,-9.55,-1.75,-4.76,-3.72,-2.32,14.5,7.46,11.24
-8.8,3.66,6.38,16.91,4.92,0.04,11.51,12.97,-27.68,-5.03,-12.36,2.31,-18.86,-9.51,-4.89,-2.76,-3.11,3.05,10.05,4.79,16.58
-6.5,3.62,-3.87,15.5,4.67,2.07,10.04,3.73,-31.98,-0.45,-8.07,4.2,-12.06,-7.43,-6.4,0.14,-1.56,7.31,6.65,2.15,18.44
-2.57,2.15,-13.19,12.52,3.39,3.15,6.74,-6.21,-31.9,3.2,-3.55,6.34,-6.28,-3.8,-6.11,2.49,0.65,8.59,5.03,1.84,17.71
1.22,-0.52,-18.04,9.13,0.98,2.7,2.22,-10.89,-26.88,4.32,0.23,8.47,-3.37,-0.07,-4.78,3.02,2.59,6.46,4.47,3.41,15.6
